cod;nome;período;valor
28;SE;2013;26
27;AL;2013;62
26;PE;2013;120
25;PB;2013;64
24;RN;2013;41
23;CE;2013;147
22;PI;2013;20
21;MA;2013;57
17;TO;2013;23
11;RO;2013;20
12;AC;2013;12
13;AM;2013;31
14;RR;2013;9
15;PA;2013;93
16;AP;2013;8
53;DF;2013;35
52;GO;2013;114
51;MT;2013;26
50;MS;2013;22
43;RS;2013;83
42;SC;2013;43
41;PR;2013;131
35;SP;2013;214
32;ES;2013;80
31;MG;2013;183
22;PI;2014;23
15;PA;2014;116
14;RR;2014;5
13;AM;2014;34
12;AC;2014;10
11;RO;2014;20
53;DF;2014;26
52;GO;2014;129
51;MT;2014;49
50;MS;2014;39
43;RS;2014;76
42;SC;2014;41
41;PR;2014;117
35;SP;2014;209
33;RJ;2014;157
32;ES;2014;69
31;MG;2014;168
29;BA;2014;148
28;SE;2014;27
27;AL;2014;67
26;PE;2014;113
25;PB;2014;57
24;RN;2014;48
23;CE;2014;135
21;MA;2014;62
17;TO;2014;14
16;AP;2014;13
43;RS;2015;100
50;MS;2015;23
31;MG;2015;165
51;MT;2015;48
52;GO;2015;102
53;DF;2015;22
29;BA;2015;151
28;SE;2015;23
27;AL;2015;40
26;PE;2015;103
25;PB;2015;57
24;RN;2015;40
23;CE;2015;100
22;PI;2015;28
21;MA;2015;56
17;TO;2015;16
16;AP;2015;6
15;PA;2015;109
14;RR;2015;8
13;AM;2015;54
12;AC;2015;11
11;RO;2015;27
32;ES;2015;55
33;RJ;2015;134
35;SP;2015;169
41;PR;2015;88
42;SC;2015;35
53;DF;2016;30
11;RO;2016;15
12;AC;2016;13
13;AM;2016;53
14;RR;2016;9
15;PA;2016;129
16;AP;2016;5
17;TO;2016;18
21;MA;2016;55
22;PI;2016;17
23;CE;2016;103
24;RN;2016;50
25;PB;2016;45
26;PE;2016;131
27;AL;2016;41
28;SE;2016;22
29;BA;2016;193
31;MG;2016;148
32;ES;2016;37
33;RJ;2016;134
35;SP;2016;157
41;PR;2016;80
42;SC;2016;38
43;RS;2016;121
50;MS;2016;26
51;MT;2016;36
52;GO;2016;99
53;DF;2017;17
11;RO;2017;22
12;AC;2017;16
13;AM;2017;46
14;RR;2017;13
15;PA;2017;129
16;AP;2017;12
17;TO;2017;21
21;MA;2017;49
22;PI;2017;20
23;CE;2017;202
24;RN;2017;87
25;PB;2017;41
26;PE;2017;136
27;AL;2017;43
28;SE;2017;39
29;BA;2017;208
31;MG;2017;129
32;ES;2017;59
33;RJ;2017;137
35;SP;2017;157
41;PR;2017;98
42;SC;2017;47
43;RS;2017;114
50;MS;2017;25
51;MT;2017;31
